# master_seed: 1783263541
instance,run_id,seed,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0,time_greedy,time_rand_0.3,time_rand_0.5,time_rand_0.8,time_react_0.5,time_react_1.0,time_react_2.0
scenario_n100_l50_d0.80_instance01,3,8954,3,15,23,32,3,3,3,0.3153,70.628000,77.673400,80.075100,443.784100,441.410200,423.311800
scenario_n20_l20_d0.20_instance01,3,8954,7,7,8,11,7,7,7,0.0276,1.404500,1.604100,2.257200,9.763700,8.821900,8.164200
scenario_n20_l20_d0.50_instance01,3,8954,5,6,8,9,5,5,5,0.0329,2.118700,2.192900,2.138800,12.403000,11.571200,11.317300
scenario_n20_l20_d0.80_instance01,3,8954,3,5,7,9,3,3,3,0.0433,3.027200,2.657800,2.659300,15.507600,14.240900,12.740400
scenario_n30_l30_d0.20_instance01,3,8954,11,12,14,16,11,11,11,0.0587,3.664600,3.827100,4.045600,23.316500,22.660600,21.699800
scenario_n30_l30_d0.50_instance01,3,8954,6,8,11,14,6,6,5,0.0576,5.047900,5.211600,5.354100,30.358600,28.791800,26.634800
scenario_n30_l30_d0.80_instance01,3,8954,3,7,12,13,3,3,3,0.0605,6.381600,7.159500,6.553100,37.939900,34.190800,30.667100
scenario_n40_l40_d0.20_instance01,3,8954,10,11,15,19,10,10,10,0.0852,6.962200,7.614500,7.542100,42.217700,39.024100,36.379300
scenario_n40_l40_d0.50_instance01,3,8954,5,10,15,19,5,5,5,0.0813,8.959300,9.960100,10.609500,53.913800,51.076200,49.031100
scenario_n40_l40_d0.80_instance01,3,8954,3,10,14,16,3,3,3,0.083,10.897300,12.371100,12.265300,65.989300,59.519300,53.874200
scenario_n500_l125_d0.20_instance01,3,8954,14,NA,NA,NA,NA,NA,NA,2.3188,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.50_instance01,3,8954,7,NA,NA,NA,NA,NA,NA,6.3042,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.80_instance01,3,8954,2,NA,NA,NA,NA,NA,NA,10.9275,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.20_instance01,3,8954,26,NA,NA,NA,NA,NA,NA,3.2673,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.50_instance01,3,8954,10,NA,NA,NA,NA,NA,NA,6.6833,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.80_instance01,3,8954,4,NA,NA,NA,NA,NA,NA,12.637,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.20_instance01,3,8954,32,NA,NA,NA,NA,NA,NA,5.3882,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.50_instance01,3,8954,16,NA,NA,NA,NA,NA,NA,8.6933,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.80_instance01,3,8954,6,NA,NA,NA,NA,NA,NA,12.1653,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.20_instance01,3,8954,38,NA,NA,NA,NA,NA,NA,8.1147,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.50_instance01,3,8954,17,NA,NA,NA,NA,NA,NA,8.7242,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.80_instance01,3,8954,8,NA,NA,NA,NA,NA,NA,14.7681,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.20_instance01,3,8954,38,NA,NA,NA,NA,NA,NA,9.5839,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.50_instance01,3,8954,20,NA,NA,NA,NA,NA,NA,9.5847,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.80_instance01,3,8954,11,NA,NA,NA,NA,NA,NA,13.542,NA,NA,NA,NA,NA,NA
scenario_n50_l12_d0.20_instance01,3,8954,4,4,6,8,4,4,4,0.0472,4.452800,5.100000,4.558500,26.161300,27.893800,26.758000
scenario_n50_l12_d0.50_instance01,3,8954,2,4,6,8,2,2,2,0.0739,8.213000,7.681100,7.789900,47.481900,48.895900,42.238700
scenario_n50_l12_d0.80_instance01,3,8954,2,4,6,8,2,2,2,0.1006,11.216100,10.284400,11.781400,70.204600,67.491000,66.806700
scenario_n50_l25_d0.20_instance01,3,8954,6,8,11,17,6,6,6,0.065,6.245000,6.689300,6.753900,38.983700,38.495200,35.909300
scenario_n50_l25_d0.50_instance01,3,8954,3,8,12,16,3,3,3,0.1541,10.446200,10.170000,10.843300,58.230700,56.818100,52.846400
